Caller Method	Caller Library	Interface Name	Interface Library	Callee Method	Impl. Name	Impl. Library
org.springside.modules.utils.mapper.JsonMapper::fromJson(Ljava/lang/String;Ljava/lang/Class;)Ljava/lang/Object;	io.springside:springside-utils:5.0.0-SNAPSHOT	com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.core:jackson-core:2.8.6	com.fasterxml.jackson.databind.ObjectMapper::readValue(Ljava/lang/String;Ljava/lang/Class;)Ljava/lang/Object;	com.fasterxml.jackson.databind.ObjectMapper	com.fasterxml.jackson.core:jackson-databind:2.8.6
org.springside.modules.utils.mapper.JsonMapper::update(Ljava/lang/String;Ljava/lang/Object;)V	io.springside:springside-utils:5.0.0-SNAPSHOT	com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.core:jackson-core:2.8.6	com.fasterxml.jackson.databind.ObjectMapper::readerForUpdating(Ljava/lang/Object;)Lcom/fasterxml/jackson/databind/ObjectReader;	com.fasterxml.jackson.databind.ObjectMapper	com.fasterxml.jackson.core:jackson-databind:2.8.6
org.springside.modules.utils.mapper.JsonMapper::JsonMapper(Lcom/fasterxml/jackson/annotation/JsonInclude$Include;)V	io.springside:springside-utils:5.0.0-SNAPSHOT	com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.core:jackson-core:2.8.6	com.fasterxml.jackson.databind.ObjectMapper::disable(Lcom/fasterxml/jackson/databind/DeserializationFeature;)Lcom/fasterxml/jackson/databind/ObjectMapper;	com.fasterxml.jackson.databind.ObjectMapper	com.fasterxml.jackson.core:jackson-databind:2.8.6
org.springside.modules.utils.mapper.JsonMapper::toJson(Ljava/lang/Object;)Ljava/lang/String;	io.springside:springside-utils:5.0.0-SNAPSHOT	com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.core:jackson-core:2.8.6	com.fasterxml.jackson.databind.ObjectMapper::writeValueAsString(Ljava/lang/Object;)Ljava/lang/String;	com.fasterxml.jackson.databind.ObjectMapper	com.fasterxml.jackson.core:jackson-databind:2.8.6
org.springside.modules.utils.mapper.JsonMapper::enableEnumUseToString()V	io.springside:springside-utils:5.0.0-SNAPSHOT	com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.core:jackson-core:2.8.6	com.fasterxml.jackson.databind.ObjectMapper::enable(Lcom/fasterxml/jackson/databind/SerializationFeature;)Lcom/fasterxml/jackson/databind/ObjectMapper;	com.fasterxml.jackson.databind.ObjectMapper	com.fasterxml.jackson.core:jackson-databind:2.8.6
org.springside.modules.utils.mapper.JsonMapper::JsonMapper(Lcom/fasterxml/jackson/annotation/JsonInclude$Include;)V	io.springside:springside-utils:5.0.0-SNAPSHOT	com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.core:jackson-core:2.8.6	com.fasterxml.jackson.databind.ObjectMapper::setSerializationInclusion(Lcom/fasterxml/jackson/annotation/JsonInclude$Include;)Lcom/fasterxml/jackson/databind/ObjectMapper;	com.fasterxml.jackson.databind.ObjectMapper	com.fasterxml.jackson.core:jackson-databind:2.8.6
org.springside.modules.utils.mapper.JsonMapper::fromJson(Ljava/lang/String;Lcom/fasterxml/jackson/databind/JavaType;)Ljava/lang/Object;	io.springside:springside-utils:5.0.0-SNAPSHOT	com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.core:jackson-core:2.8.6	com.fasterxml.jackson.databind.ObjectMapper::readValue(Ljava/lang/String;Lcom/fasterxml/jackson/databind/JavaType;)Ljava/lang/Object;	com.fasterxml.jackson.databind.ObjectMapper	com.fasterxml.jackson.core:jackson-databind:2.8.6
org.springside.modules.utils.mapper.JsonMapper::buildCollectionType(Ljava/lang/Class;Ljava/lang/Class;)Lcom/fasterxml/jackson/databind/JavaType;	io.springside:springside-utils:5.0.0-SNAPSHOT	com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.core:jackson-core:2.8.6	com.fasterxml.jackson.databind.ObjectMapper::getTypeFactory()Lcom/fasterxml/jackson/databind/type/TypeFactory;	com.fasterxml.jackson.databind.ObjectMapper	com.fasterxml.jackson.core:jackson-databind:2.8.6
org.springside.modules.utils.mapper.JsonMapper::buildMapType(Ljava/lang/Class;Ljava/lang/Class;Ljava/lang/Class;)Lcom/fasterxml/jackson/databind/JavaType;	io.springside:springside-utils:5.0.0-SNAPSHOT	com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.core:jackson-core:2.8.6	com.fasterxml.jackson.databind.ObjectMapper::getTypeFactory()Lcom/fasterxml/jackson/databind/type/TypeFactory;	com.fasterxml.jackson.databind.ObjectMapper	com.fasterxml.jackson.core:jackson-databind:2.8.6
org.springside.modules.utils.mapper.JsonMapper::enableEnumUseToString()V	io.springside:springside-utils:5.0.0-SNAPSHOT	com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.core:jackson-core:2.8.6	com.fasterxml.jackson.databind.ObjectMapper::enable(Lcom/fasterxml/jackson/databind/DeserializationFeature;)Lcom/fasterxml/jackson/databind/ObjectMapper;	com.fasterxml.jackson.databind.ObjectMapper	com.fasterxml.jackson.core:jackson-databind:2.8.6
