Caller Method	Caller Library	setAccessible Called On	Visibility	Callee Name	Field Signature	Callee Library
us.codecraft.webmagic.model.PageModelExtractor::init(Ljava/lang/Class;)V	us.codecraft:webmagic-extension:0.7.3	java.lang.reflect.Field	private	us.codecraft.webmagic.model.PageModelExtractorTest$ModelUrl::name	java.lang.String	unknownLib
us.codecraft.webmagic.model.PageModelExtractor::init(Ljava/lang/Class;)V	us.codecraft:webmagic-extension:0.7.3	java.lang.reflect.Field	private	us.codecraft.webmagic.model.ModelPageProcessorTest$ModelFoo::foo	java.lang.String	unknownLib
us.codecraft.webmagic.model.PageModelExtractor::init(Ljava/lang/Class;)V	us.codecraft:webmagic-extension:0.7.3	java.lang.reflect.Field	private	us.codecraft.webmagic.model.ModelPageProcessorTest$ModelBar::bar	java.lang.String	unknownLib
us.codecraft.webmagic.model.PageModelExtractor::init(Ljava/lang/Class;)V	us.codecraft:webmagic-extension:0.7.3	java.lang.reflect.Field	private	us.codecraft.webmagic.model.PageModelExtractorTest$ModelCustomList::dates	java.util.List<java.util.Date>	unknownLib
us.codecraft.webmagic.model.PageModelExtractor::init(Ljava/lang/Class;)V	us.codecraft:webmagic-extension:0.7.3	java.lang.reflect.Field	private	us.codecraft.webmagic.model.PageModelExtractorTest$ModelDate::date	java.util.Date	unknownLib
us.codecraft.webmagic.model.PageModelExtractor::init(Ljava/lang/Class;)V	us.codecraft:webmagic-extension:0.7.3	java.lang.reflect.Field	private	us.codecraft.webmagic.example.GithubRepo::url	java.lang.String	us.codecraft:webmagic-extension:0.7.3
us.codecraft.webmagic.model.PageModelExtractor::init(Ljava/lang/Class;)V	us.codecraft:webmagic-extension:0.7.3	java.lang.reflect.Field	private	us.codecraft.webmagic.model.GithubRepoApi::name	java.lang.String	unknownLib
us.codecraft.webmagic.model.PageModelExtractor::init(Ljava/lang/Class;)V	us.codecraft:webmagic-extension:0.7.3	java.lang.reflect.Field	private	us.codecraft.webmagic.example.GithubRepo::author	java.lang.String	us.codecraft:webmagic-extension:0.7.3
us.codecraft.webmagic.model.PageModelExtractor::init(Ljava/lang/Class;)V	us.codecraft:webmagic-extension:0.7.3	java.lang.reflect.Field	private	us.codecraft.webmagic.example.GithubRepo::fork	int	us.codecraft:webmagic-extension:0.7.3
us.codecraft.webmagic.model.PageModelExtractor::init(Ljava/lang/Class;)V	us.codecraft:webmagic-extension:0.7.3	java.lang.reflect.Field	private	us.codecraft.webmagic.example.GithubRepo::name	java.lang.String	us.codecraft:webmagic-extension:0.7.3
us.codecraft.webmagic.model.PageModelExtractor::init(Ljava/lang/Class;)V	us.codecraft:webmagic-extension:0.7.3	java.lang.reflect.Field	private	us.codecraft.webmagic.model.PageModelExtractorTest$ModelDateList::dates	java.util.List<java.util.Date>	unknownLib
us.codecraft.webmagic.model.PageModelExtractor::init(Ljava/lang/Class;)V	us.codecraft:webmagic-extension:0.7.3	java.lang.reflect.Field	private	us.codecraft.webmagic.example.GithubRepo::readme	java.lang.String	us.codecraft:webmagic-extension:0.7.3
us.codecraft.webmagic.model.PageModelExtractor::init(Ljava/lang/Class;)V	us.codecraft:webmagic-extension:0.7.3	java.lang.reflect.Field	private	us.codecraft.webmagic.model.PageModelExtractorTest$ModelIntList::numbers	java.util.List<java.lang.Integer>	unknownLib
us.codecraft.webmagic.model.PageModelExtractor::init(Ljava/lang/Class;)V	us.codecraft:webmagic-extension:0.7.3	java.lang.reflect.Field	private	us.codecraft.webmagic.model.PageModelExtractorTest$ModelJsonStr::name	java.lang.String	unknownLib
us.codecraft.webmagic.model.PageModelExtractor::init(Ljava/lang/Class;)V	us.codecraft:webmagic-extension:0.7.3	java.lang.reflect.Field	private	us.codecraft.webmagic.model.PageModelExtractorTest$ModelDateStr::dateStr	java.lang.String	unknownLib
us.codecraft.webmagic.model.PageModelExtractor::init(Ljava/lang/Class;)V	us.codecraft:webmagic-extension:0.7.3	java.lang.reflect.Field	private	us.codecraft.webmagic.model.PageModelExtractorTest$ModelInt::number	int	unknownLib
us.codecraft.webmagic.model.PageModelExtractor::init(Ljava/lang/Class;)V	us.codecraft:webmagic-extension:0.7.3	java.lang.reflect.Field	private	us.codecraft.webmagic.model.PageModelExtractorTest$ModelStringList::links	java.util.List<java.lang.String>	unknownLib
us.codecraft.webmagic.model.PageModelExtractor::init(Ljava/lang/Class;)V	us.codecraft:webmagic-extension:0.7.3	java.lang.reflect.Field	private	us.codecraft.webmagic.example.GithubRepo::language	java.util.List<java.lang.String>	us.codecraft:webmagic-extension:0.7.3
us.codecraft.webmagic.model.PageModelExtractor::init(Ljava/lang/Class;)V	us.codecraft:webmagic-extension:0.7.3	java.lang.reflect.Field	private	us.codecraft.webmagic.example.GithubRepo::star	int	us.codecraft:webmagic-extension:0.7.3
